titulo,descricao
Presidente Dr. Aerton citou que Belém merece a criação de um Centro de Eventos,"Presidente Dr. Aerton apresentou seu requerimento o 073/2023 que se refere a duas ruas que não foram asfaltadas, se localiza no Conjunto Habitacional Terezinha Amarante Viana mais conhecido como Conjunto Novo. Parabenizou os vereadores por seus requerimentos. Citou que Belém merece a criação de um Centro de Eventos."
Vereador Everton Gama iniciou sua fala desejando suas condolências a toda família de seu José Domingos (Zezito),
Vereador João Marcelo falou sobre a Escola Integral Elvira Silveira,"Vereador João Marcelo falou sobre a Escola Integral Elvira Silveira, e solicitou que fossem implementadas oficinas de dança, de artes etc. Continuou falando sobre a Escola Elvira Silveira, e disse que deveria ser uma escola que tivesse condições físicas, que mantivessem os alunos confortáveis o dia inteiro. Mas que infelizmente o mínimo não se tem, como ventilador e portas."
"Vereador Dé do Pt falou da iluminação do Terminal Rodoviário, pois algumas lâmpadas estão queimadas",
"Vereador José Vicente citou a escola Felinto Elisio, e criticou a má estruturação da mesma","Vereador José Vicente apresentou três requerimentos sendo um deles o requerimento 067/2023, onde pede que possa ser encaminhado, ao Governo do Estado da Paraíba e a Secretaria da Juventude Esporte e Lazer, para que estude possibilidade de uma parceria com o Governo Municipal, a fim de realizar uma reforma no estádio “O Rauzão”. Citou a escola Felinto Elísio, e criticou a má estruturação da mesma. Perguntou o porquê da escola até agora não ter sido reformada, já que faz anos que pedem."
Vereador Severino Porpino agradeceu a Deus pela oportunidade e se acostou aos requerimentos dos seus pares,"Vereador Severino Porpino agradeceu a Deus pela oportunidade, e se acostou aos requerimentos dos seus pares, em especial ao requerimento do Vereador José Vicente, que requereu ao Gabinete da Gestora que possa procurar meios para a pavimentação da entrada da UBS do Sitio Limeira. Falou que foi até o Sitio Tanque Dantas e lá presenciou e teve a felicidade de ver dois tratores fazendo os cortes de terras dos agricultores."
Vereador João Marcelo apresentou seu requerimento direcionado a Secretaria de Meio Ambiente,"Vereador João Marcelo apresentou seu requerimento direcionado a Secretaria de Meio Ambiente, para que possa está fazendo um trabalho junto com os catadores do município. Externou seus sentimentos pela partida de duas munícipes, sendo elas Dona Maria Marculino, que era mestre artesã e última louceira do município e a mãe do professor Bendito."
Vereador Naldo de Rua Nova disse que deu uma ideia uma vez ao Ex-Prefeito Edgard Gama,"Vereador Naldo de Rua Nova disse que quando não se tem muito a reivindicar é porque as coisas estão bem encaminhadas no município. Falou sobre o remanejamento das plantas que havia nos canteiros da rua Feliciano Pedrosa. Disse que deu uma ideia uma vez ao Ex-prefeito Edgard Gama, que onde funciona os dois lados do Mercado Público deveria ser transformado em um calçadão."
Presidente Dr. Aerton apresentou seu requerimento sobre a apresentação do Projeto Parceria Solidária,
Presidente Dr. Aerton falou que a Prefeita disponibilizará transporte para os estudantes que cursam ensino superior,
Vereador Naldo de Rua Nova agradeceu ao Governador pois recebeu a noticia que a pista de ciclismo será feita,
Vereador Naldo de Rua Nova ficou feliz em ver que a reforma da Escola Alice está progredindo,
"Vereador Xavier Netto disse que gostaria de ver a cidade de Belém, com a funcionalidade maior das práticas esportivas",
Vereador Armando de Gambeu parabenizou a todos que se fizeram presentes na caminhada da Casa Azul,
Vereador Everton Gama disse que é entusiasta do artesanato e da cultura,
Vereador José Vicente falou que vai iniciar um trabalho para incentivar as crianças a praticarem o Mountain Bike,
Vereador Armando de Gambeu parabenizou a Gestora pela entrega do fardamento escolar,"Vereador Armando de Gambeu apresentou o requerimento 071/2023, onde requereu ao Poder Legislativo, que possa ser concedido votos de aplausos a todo corpo de secretárias e secretários do Poder Executivo municipal, pelo brilhante trabalho que vem sendo feito."
REQUERIMENTOS APROVADOS NO MÊS DE ABRIL DE 2023.,
Presidente Dr. Aerton apresentou o requerimento que se refere ao conserto de uma rede de esgoto,"Presidente Dr. Aerton apresentou alguns requerimentos e um deles foi o requerimento 057/2023 que se refere ao conserto de uma rede de esgoto, próximo a residência do sr. Evandro Soares da Silva mais conhecido como “Vando de Otavio”, esse esgoto passa vizinho a sua residência e muitas vezes inunda e trouxe a problemática de uma rachadura no banheiro."
Vereador Toinho Vermelho citou sobre a problemática da carne estragada que foi encontrada na Escola Elvira,"Vereador Toinho Vermelho falou sobre a problemática que ocorreu na Escola Elvira, sobre a carne estragada e que a Gestora tomará as devidas providências para que possa ser solucionada essa questão."
Vereador Armando de Gambeu citou que está muito feliz pois teve uma comitiva visitando campo de Rua Nova,"Vereador Armando de Gambeu saudou a todos com um boa noite. Falou que esse ano está sendo um ano de muita chuva e não entende o porquê está faltando água, e indagou dizendo: o que aconteceu com a Cagepa? Porque o papel para ser pago chega, pede para que a Cagepa possa solucionar essa problemática. Citou que está muito feliz pois teve uma comitiva visitando campo de Rua Nova."
"Vereador Naldo de Rua Nova informou que o campo de Rua Nova, será concluído","Vereador Naldo de Rua Nova apresentou alguns requerimentos, entre eles um que para ele é muito importante e que foi muito reivindicado pelos populares e se comprometeu em levar até a Casa, trata-se da conclusão do calçamento de algumas ruas e uma delas é conhecida como rua Bela Vista no Distrito de Rua Nova. Falou sobre o campo de Rua Nova e disse que para felicidade de todos, tem o prazer de informar que o campo será concluído, e que a Prefeita Aline está oferecendo o feito inédito que é a iluminação, e será colocado, quatro torres com refletores para que os munícipes possam utilizar a noite."
Vereador Toinho Vermelho parabenizou a gestão por seus grandes feitos,"Citou que foi informado que a Prefeita iniciou a reforma na Galeria da rua Luiz Gomes e o reforço do calçamento. Lembrou que na festividade do São Pedro do ano passado, como estava em um tempo de bastante chuva, as ruas Raul Barbosa e a Santa Helena ficaram em um lamaçal, mas esse ano já foi solucionada essa problemática."
Vereador Naldo de Rua Nova requereu que a Secretaria de Educação determine o uso de detector de metal nas escolas,"Vereador Naldo de Rua Nova falou sobre as ruas do Distrito de Rua Nova, e requereu que o Setor Público ofereça um projeto aos nossos representantes do Senado e da Câmara Federal para que direcionem recursos que acabem ou diminuem as exposições de resíduos que percorrem os córregos daquela comunidade. Requereu que a Secretaria de Educação determine o uso do detector de metal nas escolas."
Vereador Zé Vicente iniciou sua fala desejando seus pêsames ao falecido Zé Domingos,"Vereador Zé Vicente iniciou sua fala desejando seus pêsames ao falecido Zé Domingos. Relatou que na quinta-feira fez uma visita ao posto de saúde de Limeira, e ficou impressionado por sua reforma que está em andamento. Finalizou dizendo que não tem medo algum em afirmar que a Gestora Aline vai transformar Belém."
Vereador João Marcelo parebenizou o grupo teatral Nossa Senhora da Pureza pela encenação da Paixão de Cristo,
Vereador Xavier Netto ficou feliz pela resolução da problemática da falta de transporte para os universitários,
"Vereador José Vicente falou que a Prefeita ampliou o cemitério, calçou e colocou iluminação",
"Vereador Everton Gama em sua fala, desejou a todos os belenenses uma Feliz Páscoa.",
Vereador José Vicente falou da problemática que ocorreu na Escola Elvira Silveira sobre a carne estragada,"Vereador José Vicente falou da problemática que ocorreu na Escola Elvira Silveira sobre a carne estragada, que foi encontrada em um dos pratos dos alunos e que esteve lá acompanhado da Secretária de Educação e da Nutricionista para apurar os fatos. Citou sobre a questão do São Pedro, disse que não participa, mas que será uma grande festa. Continuou dizendo que escutou que haverá o festival de quadrilha, mas que vai se certificar e concluiu dizendo que terá uma premiação digna."
Vereador Xavier Netto fez uma denúncia a respeito da merenda oferecida aos alunos da escola Elvira,
Vereador Toinho Vermelho parabenizou a Secretária de Saúde Alcione pelo trabalho feito aos autistas,
Vereador João Marcelo citou sobre as aulas que começaram tardiamente,"Vereador João Marcelo começou falando sobre a problemática da falta d’água e que a Cagepa poderia ter uma comunicação melhor com os munícipes, inclusive os meios de comunicação poderiam ajudar com essas informações, já que em Guarabira, se é comunicado quando as ruas ou a cidade ficará sem o abastecimento. Citou sobre as aulas que começaram tardiamente e que muitos pais, estavam sentindo que seus filhos estavam sendo prejudicados."
REQUERIMENTOS APROVADOS NO MÊS DE MARÇO DE 2023.,
REQUERIMENTOS APROVADOS NO MÊS DE FEVEREIRO DE 2023.,
Vereador Everton Gama citou sobre dá ênfase a questão da volta das quadrilhas juninas,"Vereador Everton Gama disse que é muito bom ver as referencias feitas ao Ex-prefeito Edgard Gama por seus feitos enquanto esteve Prefeito de Belém. Citou sobre dá ênfase a questão da volta das quadrilhas juninas, não só da local, mas das cidades circunvizinhas. Pediu para que a Comissão planeje e veja a possibilidade de se ter eventos durante o dia, antes da festa do São Pedro, na rua principal de Belém, para que assim se tenha uma movimentação maior no comércio."
"Vereador Dé do PT pediu a gestão que dê uma atenção ao vestiário do campo ""O Rauzão""","Vereador Dé do PT iniciou sua fala relatando um transtorno sobre a notícia da carne estragada que foi encontrada na merenda de uma escola do município. Parabenizou a maioria dos professores contratados, que por falta de planejamento da Secretaria de Educação, irão receber o primeiro salário desse ano. Pediu a Gestão que dê uma atenção ao vestiário do campo “O Rauzão” porque a situação em que se encontra não é boa."
Vereador Xavier Netto citou a problemática dos alunos que precisam do transporte universitário,
Vereador Dé do PT citou que recebeu a resposta do seu requerimento sobre quem eram os menbros do Exame Seletivo,
Vereador José Vicente falou que vai pedir ao Poder Executivo que estude uma forma de manter a UBS aberta por 24 horas,
Vereador João Marcelo falou sobre as reformas na praça 6 de setembro,"Vereador João Marcelo citou que trouxe dois requerimentos os quais já foram aprovados pela Casa, o primeiro se refere a um pedido feito ao Presidente do Legislativo Dr Aerton para que, fosse marcada uma Sessão Especial, tendo como foco a juventude do munícipio, e o outro se refere a um pedido a Gestora, para que ela mande um requerimento sobre um crédito adicional a Casa, para que assim possa ser resolvido a problemática da falta de transporte para os universitários belenenses. Falou que seria importante que a gestão tivesse feito um projeto arquitetônico, que contemplasse as belezas naturais que já se tinha na praça 6 de setembro."
Vereador Dé do PT parabenizou a diretora Francisca Darize Lira pela apresentação do Projeto Gotas de Esperança,
Vereador Armando de Gambeu falou que deve sim ter uma mulher na Casa representando as munícipes de Belém,
Presidente Dr Aerton falou que recebeu o requerimento dos estudantes e o envio foi via e-mail constitucional,
"Vereador Ewerton Gama citou que fez alguns requerimentos, e um deles foi pedindo que sejam feitas ciclovias",
Vereador Toinho Vermelho disse que entrará com um requerimento onde solicita o Governo do Estado uma viatura,
"Vereador Naldo de Rua Nova parabenizou o Governador do Estado da Paraíba, pelo recapeamento da PB 73",
Vereador José Vicente começou sua fala parabenizando as mulheres pela data e pela história,
"Vereador João Marcelo  disse que é muito triste, ter que ainda cobrar transporte para os estudantes",
Vereador Dé do PT citou sobre a falta de medicamento na farmácia básica,
Vereador Valdo Fernandes  pediu ao Governo do Estado que coloque mais policiais para melhorar a segurança de Belém,
Presidente do Legislativo Dr. Aerton  parabenizou o Vereador Armando de Gambeu por seus requerimentos,Presidente do Legislativo Dr. Aerton parabenizou o Vereador Armando de Gambeu por seus requerimentos sendo um deles sobre o lixo seletivo. Falou que foi colocado um requerimento seu sobre o Dia Internacional da Mulher e pediu aos vereadores que apresentem sugestões para que possa se fazer uma sessão especial ainda no mês de março. Citou sobre as câmeras e pediu que a Prefeita possa fazer um Centro de Monitoramento em parceria com a Polícia Militar.
Vereador Toinho Vermelho pediu ao Poder Executivo que coloque câmeras nas ruas,Vereador Toinho Vermelho disse que ficou muito alegre porque passou em frente à Creche Modelo e notou que a Prefeita começou as obras de    calçamento na rua Santa Helena. Pediu ao Poder Executivo que coloque câmeras nas ruas e informou que se tem um requerimento seu na Casa sobre esse assunto.
Vereador Naldo de Rua Nova disse  que não vê a questão da educação como despesa e sim como investimento,"Vereador Naldo de Rua Nova disse que levará ao gabinete da Prefeita a questão da falta de transporte para os alunos que cursam ensino superior, para que seja mais bem avaliado. Disse que não vê a questão da educação como despesa e sim como investimento e todos tem conhecimento disso."
Vereador Xavier Netto falou sobre a falta de transporte para os universitários,"Vereador Xavier Netto falou sobre a falta de transporte para os universitários, e que não se tem como prioridade a educação, principalmente o ensino superior. Disse que ex-prefeito Edgard Gama, foi o primeiro Prefeito que teve o desprendimento de entender, que o transporte para se fazer o curso superior, é extremamente importante para o município.  Fez um apelo a Secretaria de Educação e ao Gabinete da Prefeita, pediu que trate como prioridade a locomoção para os universitários."
Vereador Everton Gama Ressaltou sobre uma rua que está em situação precária,
Vereador João Marcelo falou que é necessário que essa gestão volte o seu olhar para os munícipes de Belém,
Vereador Dé do PT teve  uma audiência com o Promotor de Justiça Dr. Ítalo em relação ao campo de Rua Nova,
Mudamos de endereço virtual,
Vereador Valdo Fernandes falou que é uma preocupação porque sem educação não há desenvolvimento no município.,
Nota de Pesar,
Vereador Xavier Netto falou sobre a segurança pública do município,
"Vereador João Marcelo Citou sobre a situação dos 12 alunos do ensino superior, que ainda estão sem transporte",
Vereador José Vicente parebenizou a Prefeita Dona Aline pelas restaurações feitas.,
Presidente do Legislativo Dr. Aerton anuncia aos munícipes de Belém o Tombamento Patrimonial da Câmara de Vereadores,
"Vereador Ewerton Gama disse que seria bom que tivesse uma Secretaria da Mulher, que é muito importante",
Vereador Armando de Gambeu reivindicou placas para as ruas de Belém,
Vereador João Marcelo lamentou a ausência de mulheres no Plenário,"Vereador João Marcelo colocou na Casa um requerimento de voto de aplausos ao Governador do Estado pôr na última semana ter nomeado um belenense como Secretário Executivo da Juventude o qual será responsável por formular políticas públicas em prol da juventude de todo Estado da Paraíba. Disse que, como fez nos últimos dois anos faz novamente, que é lamentar a ausência de mulheres no plenário e o dia como o Dia Internacional da Mulher o fez refletir bastante sobre os espaços que a mulher tem galgado na política e em diversas áreas. Citou que ficou surpreso por ter sido procurado por uma jovem belenense, que está com um nódulo no seio, falou também que existe o risco de diagnóstico de câncer de mama, que a mesma ao procurar a Secretaria de Saúde teve a triste notícia de que não tinha um médico para laudar a mamografia. Ficou extasiado ao escutar esse relato, porque existe tantas cidades por aí que não tem mamógrafo, não tem Centro de Referência para a mulher, mas se desdobram com verba da saúde, para mensalmente acolher mulheres e ajudá-las com o diagnostico através da mamografia."
"Vereador Dé do PT disse que não existe despesas com a educação, mas sim, investimento",
Presidente do Legislativo Dr. Aerton parabenizou a Prefeita Aline Barbosa pela passagem do seu natalício,
Presidente do Legislativo Dr Aerton falou sobre a Quadra G e disse que a rua está em uma situação precária,
Vereador Valdo Fernandes citou que a Prefeita Dona Aline faz uma excelente administração,
Vereador Toinho Vermelho falou para os desportistas ficarem tranquilos que o Ginásio Xavierzão logo estará disponível,
Vereador Xavier Netto pediu que a gestão tenha um olhar especial para o esporte do município,
Vereador Zé Vicente citou sobre a situação do Ginásio Amigão e disse que esteve com a Secretária de Educação,
Vereador Dé do PT disse que os dias tem sido muito tumultuados por questão de ter tido assaltos e mortes em Belém,
Vereador Armando de Gambeu falou sobre seu Requerimento que visa revitalizar a ciclovia de Rua Nova,
"Requerimento 02/2023 do Vereador Severino Porpino ""Seu Bau """,
Presidente do Legislativo Dr. Aerton recebe o projeto da Paixão de Cristo 2023 do Grupo Teatral Nossa Senhora da Pureza,
Presidente do Legislativo Dr. Aerton  visitou o Sítio Gameleira para supervisionar a reforma do mata burro,
Presidente do Legislativo Dr. Aerton visitou o Sítio Gameleira para supervisionar a reforma do mata burro,
"O Presidente do Legislativo Dr. Aerton recebeu o projeto do bloco carnavalesco chamado ""Bloco dos Lisos""",
Vereador Dr. Aerton falou que realmente o regimento interno tem bastante falhas e que procurará modifica-lo,
"Vereador Severino Porpino "" Seu Bau "" disse que na Casa tem onze vereadores, mas considera que eram onze irmãos.",
Presidente do Legislativo comunica que foram criados e-mails institucionais para melhor funcionamento das comunicações,
Vereador Valdo de Rua Nova disse que conhecendo Dr Aerton Presidente do Legislativo sabe que fará um excelente trabalho,
"Vereador Valdo Fernandes  citou que sempre estará à disposição, procurando o melhor para o município.",
Vereador João Marcelo falou que saúde e educação são direitos básicos,
Vereador Xavier Netto lamentou a ausência da Gestora Prefeita Dona Aline,
Vereador Everton Gama pediu ao novo gestor do Legislativo que reveja a questão do horário de expediente da Câmara,
Agenda da Câmara referente ao mês de Maio e Junho.,
Confraternização de 2021.,
Audiência Pública da Reforma da Previdência Municipal,
Vereadores participam de audiência com promotora do município.,
Sessão Especial em alusão ao Outubro Rosa,
Vereador Valdo Ferandes pediu ao novo presindente que administre bem o poder Legislativo,
Vereador Dé do PT falou sobre a volta da democracia no âmbito federeal,
"Vereador Dé do PT cobrou sessões especiais, a exemplo de uma onde trás em pauta a Patrulha Maria da Penha",
SESSÃO ADIADA,
Vereador Xavier Netto desejou ao novo presidente do legislativo extrema sabedoria,
Chefe de Gabinete se faz presente na Sessão Solene de Abertura dos Trabalhos Legislativos,
Sessão de Abertura dos Trabalhos Legislativos Biênio 2023/2024,
Sessão Solene de Posse do Novo Presidente do Legislativo Biênio 2023/2024,
Ex-Prefeito Tarcísio Marcelo viu pela primeira vez que a oposição deixou de lado todas as rivalidades para o bem maior,
Presidente Dr. Aerton falou que não serão admitidas distinções entre servidores na casa ou tratamento diferenciado,
"Vereador Severino Porpino "" Seu Bau "" elogiou a Chefe do Executivo Dona Aline e mostrou sua admiração pela gestora",
Vereador Everton Gama Expressou muita fé na competência do então empossado Presidente do Legislativo Dr Aerton,
Vereador Toinho Vermelho Convidou os pares a deixarem as diferenças de lado e buscarem o melhor para os munícipes,
Vereador José Vicente parabenizou o atual Presidente do Legislativo Dr. Aerton,
Vereador Nal de Rua Nova falou que já acreditava no sucesso da gestão Prefeita Dona Aline,
